100, 0, 100;     200, 0, 100;     200, 300, 100;     100, 300, 100;
100, 0, 100;     100, 0, 500;     100, 300, 500;     100, 300, 100;
200, 0, 100;     200, 0, 500;     200, 300, 500;     200, 300, 100;
100, 0, 500;     200, 0, 500;     200, 300, 500;     100, 300, 500;
-100, 0, 100;     -200, 0, 100;     -200, 100, 100;     -100, 100, 100;
-100, 0, 100;     -100, 0, 200;     -100, 100, 200;     -100, 100, 100;
-200, 0, 100;     -200, 0, 200;     -200, 100, 200;     -200, 100, 100;
-100, 0, 200;     -200, 0, 200;     -200, 100, 200;     -100, 100, 200;
-100, 0, 300;     -200, 0, 300;     -200, 200, 300;     -100, 200, 300;
-100, 0, 300;     -100, 0, 500;     -100, 200, 500;     -100, 200, 300;
-200, 0, 300;     -200, 0, 500;     -200, 200, 500;     -200, 200, 300;
-100, 0, 500;     -200, 0, 500;     -200, 200, 500;     -100, 200, 500;
